dataset,model,case,labels_dir,class_mode,split_mode,train_fraction,train_used,train_total,effective_batch,effective_imgsz,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
brain-tumor,yolo11n,side_5,labels_side_5,object_only,explicit,1,893,893,32,640,0.273953699,0.060518391,0.260573794,0.564315353
brain-tumor,detr,side_5,labels_side_5,object_only,explicit,1,893,893,4,640,0.570692553,0.210051039,0.39413736,0.651452282
brain-tumor,yolov8n,side_7,labels_side_7,multiclass,explicit,1,893,893,32,640,0.099026137,0.026532852,0.141172037,0.135169428
brain-tumor,yolo11n,side_7,labels_side_7,multiclass,explicit,1,893,893,32,640,0.14085898,0.026107419,0.018878056,0.965778474
brain-tumor,detr,side_7,labels_side_7,multiclass,explicit,1,893,893,4,640,0.162896755,0.067392167,0.637329086,0.282467532
brain-tumor,yolov8n,side_7,labels_side_7,object_only,explicit,1,893,893,32,640,0.185319139,0.048119254,0.279849282,0.174273859
brain-tumor,yolo11n,side_7,labels_side_7,object_only,explicit,1,893,893,32,640,0.196081463,0.041321901,0.166247701,0.493115331
brain-tumor,detr,side_7,labels_side_7,object_only,explicit,1,893,893,4,640,0.580947191,0.2530466,0.544628775,0.622406639
brain-tumor,yolov8n,side_9,labels_side_9,multiclass,explicit,1,893,893,32,640,0.040363875,0.006665554,0.003483358,0.936296462
brain-tumor,yolo11n,side_9,labels_side_9,multiclass,explicit,1,893,893,32,640,0.036668624,0.00831815,0.00351986,0.934803702
brain-tumor,detr,side_9,labels_side_9,multiclass,explicit,1,893,893,4,640,0.097479745,0.016173903,0.05459892,0.385132109
brain-tumor,yolov8n,side_9,labels_side_9,object_only,explicit,1,893,893,32,640,0.062649709,0.010063752,0.018902856,0.734439834
brain-tumor,yolo11n,side_9,labels_side_9,object_only,explicit,1,893,893,32,640,0.077680214,0.014772588,0.031389889,0.738589212
brain-tumor,detr,side_9,labels_side_9,object_only,explicit,1,893,893,4,640,0.277313701,0.0629614,0.086582694,0.730290456
BCCD,yolov8n,side_1,labels_side_1,multiclass,explicit,1,310,310,32,640,0.902949206,0.56065892,0.862651771,0.655861579
